INCLUIR_S_N,MOTIVO_EXCLUSAO,PRIORIDADE,titulo,ano,fonte,citacoes,doi,abstract_curto,abstract,soja,DECISAO,JUSTIFICATIVA
,,ALTA,"Predicting Days to Maturity, Plant Height, and Grain Yield in Soybean: A Machine and Deep Learning Approach Using Multispectral Data",2021,Remote Sensing,78,10.3390/rs13224632,"In soybean, there is a lack of research aiming to compare the performance of machine learning (ML) and deep learning (DL) methods to predict more than one agronomic variable, such as days to maturity (DM), plant height (PH), and grain yield (GY). As these variables are important to developing an overall precision farmi...","In soybean, there is a lack of research aiming to compare the performance of machine learning (ML) and deep learning (DL) methods to predict more than one agronomic variable, such as days to maturity (DM), plant height (PH), and grain yield (GY). As these variables are important to developing an overall precision farming model, we propose a machine learning approach to predict DM, PH, and GY for soybean cultivars based on multispectral bands. The field experiment considered 524 genotypes of soybeans in the 2017/2018 and 2018/2019 growing seasons and a multitemporal–multispectral dataset collected by embedded sensor in an unmanned aerial vehicle (UAV). We proposed a multilayer deep learning regression network, trained during 2000 epochs using an adaptive subgradient method, a random Gaussian initialization, and a 50% dropout in the first hidden layer for regularization. Three different scenarios, including only spectral bands, only vegetation indices, and spectral bands plus vegetation indices, were adopted to infer each variable (PH, DM, and GY). The DL model performance was compared against shallow learning methods such as random forest (RF), support vector machine (SVM), and linear regression (LR). The results indicate that our approach has the potential to predict soybean-related variables using multispectral bands only. Both DL and RF models presented a strong (r surpassing 0.77) prediction capacity for the PH variable, regardless of the adopted input variables group. Our results demonstrated that the DL model (r = 0.66) was superior to predict DM when the input variable was the spectral bands. For GY, all machine learning models evaluated presented similar performance (r ranging from 0.42 to 0.44) for each tested scenario. In conclusion, this study demonstrated an efficient approach to a computational solution capable of predicting multiple important soybean crop variables based on remote sensing data. Future research could benefit from the information presented here and be implemented in subsequent processes related to soybean cultivars or other types of agronomic crops.",titulo,N,melhoramento genetico / fenotipagem
,,MEDIA,A Scalable Machine Learning System for Pre-Season Agriculture Yield Forecast,2018,,74,10.1109/escience.2018.00131,"Yield forecast is essential to agriculture stakeholders and can be obtained with the use of machine learning models and data coming from multiple sources. Most solutions for yield forecast rely on NDVI (Normalized Difference Vegetation Index) data which, besides being time-consuming to acquire and process, only allows ...","Yield forecast is essential to agriculture stakeholders and can be obtained with the use of machine learning models and data coming from multiple sources. Most solutions for yield forecast rely on NDVI (Normalized Difference Vegetation Index) data which, besides being time-consuming to acquire and process, only allows forecasting once crop season has already started. To bring scalability for yield forecast, in the present paper we describe a system that incorporates satellite-derived precipitation and soil properties datasets, seasonal climate forecasting data from physical models and other sources to produce a pre-season prediction of soybean/maize yield-with no need of NDVI data. This system provides significantly useful results by the exempting the need for high-resolution remote-sensing data and allowing farmers to prepare for adverse climate influence on the crop cycle. In our studies, we forecast the soybean and maize yields for Brazil and USA, which corresponded to 44% of the world's grain production in 2016. Results show the error metrics for soybean and maize yield forecasts are comparable to similar systems that only provide yield forecast information in the first weeks to months of the crop cycle.",resumo,S,complementar: previsao multicultura com soja entre os alvos
,,ALTA,Estimation of soybean grain yield from multispectral high-resolution UAV data with machine learning models in West Africa,2022,Remote Sensing Applications Society and Environment,66,10.1016/j.rsase.2022.100782,"Soybean (Glycine max (L.) Merr.) is a leguminous and oil crop with rapidly growing importance and demand in Africa following the increasing demand for oil and livestock and poultry feed in sub-Saharan Africa. However, soybean productivity is low in most countries of sub-Saharan Africa, especially in West Africa, where ...","Soybean (Glycine max (L.) Merr.) is a leguminous and oil crop with rapidly growing importance and demand in Africa following the increasing demand for oil and livestock and poultry feed in sub-Saharan Africa. However, soybean productivity is low in most countries of sub-Saharan Africa, especially in West Africa, where productivity is below one ton per ha. Hence, concerted soybean varietal development and testing efforts have been underway by the International Institute of Tropical Agriculture (IITA), collaborating with the various African and US-based soybean breeding programs. Integrating new varietal evaluation approaches based on advanced phenotyping techniques into IITA's soybean breeding program is crucial for designing efficient crop genetic improvement techniques. Hence, this work aims to investigate machine learning (ML) models and Unmanned Aerial vehicles (UAVs) to aid rapid high throughput phenotypic workflow for soybean yield estimation. We acquired multispectral images through a Sequoia® camera aboard a senseFly eBee X UAV from five variety trials during the 2020 growing season in Nigeria. UAV-based spectral bands, canopy height, vegetation indices (VI), and texture features were generated by gray level co-occurrence matrix (GLCM) and integrated to predict crop grain yield using five machine learning (ML) regression models, including Cubist, Extreme Gradient Boosting (XGBoost), Stochastic Gradient Boosting (GBM), Support vector machine (SVM), and Random Forest (RF). The main findings are the textural information generated using gray level co-occurrence matrix (GLCM) slightly outperformed predictors based mainly on vegetation indices (VI) and provided a promising alternative to the conventional use of VI in crop yield estimation. All the five ML models performed moderately well in predicting grain yield for all the soybean trials investigated, though the Cubist and RF model stood out, with R2 reaching 0.89. The study provides a framework to perform crop breeding trial assessments more effectively and consistently at high spatial scales that African crop breeding programs did not commonly apply. The workflow can also be successfully modified and applied for high throughput phenotyping of breeding platforms in other crops.",titulo,N,"escala de parcela (UAV/sensor proximal), nao regional"
,,ALTA,Soybean Yield Preharvest Prediction Based on Bean Pods and Leaves Image Recognition Using Deep Learning Neural Network Combined With GRNN,2022,Frontiers in Plant Science,58,10.3389/fpls.2021.791256,"Soybean yield is a highly complex trait determined by multiple factors such as genotype, environment, and their interactions. The earlier the prediction during the growing season the better. Accurate soybean yield prediction is important for germplasm innovation and planting environment factor improvement. But until no...","Soybean yield is a highly complex trait determined by multiple factors such as genotype, environment, and their interactions. The earlier the prediction during the growing season the better. Accurate soybean yield prediction is important for germplasm innovation and planting environment factor improvement. But until now, soybean yield has been determined by weight measurement manually after soybean plant harvest which is time-consuming, has high cost and low precision. This paper proposed a soybean yield in-field prediction method based on bean pods and leaves image recognition using a deep learning algorithm combined with a generalized regression neural network (GRNN). A faster region-convolutional neural network (Faster R-CNN), feature pyramid network (FPN), single shot multibox detector (SSD), and You Only Look Once (YOLOv3) were employed for bean pods recognition in which recognition precision and speed were 86.2, 89.8, 80.1, 87.4%, and 13 frames per second (FPS), 7 FPS, 24 FPS, and 39 FPS, respectively. Therefore, YOLOv3 was selected considering both recognition precision and speed. For enhancing detection performance, YOLOv3 was improved by changing IoU loss function, using the anchor frame clustering algorithm, and utilizing the partial neural network structure with which recognition precision increased to 90.3%. In order to improve soybean yield prediction precision, leaves were identified and counted, moreover, pods were further classified as single, double, treble, four, and five seeds types by improved YOLOv3 because each type seed weight varies. In addition, soybean seed number prediction models of each soybean planter were built using PLSR, BP, and GRNN with the input of different type pod numbers and leaf numbers with which prediction results were 96.24, 96.97, and 97.5%, respectively. Finally, the soybean yield of each planter was obtained by accumulating the weight of all soybean pod types and the average accuracy was up to 97.43%. The results show that it is feasible to predict the soybean yield of plants in situ with high precision by fusing the number of leaves and different type soybean pods recognized by a deep neural network combined with GRNN which can speed up germplasm innovation and planting environmental factor optimization.",titulo,N,"escala de parcela (UAV/sensor proximal), nao regional"
,,ALTA,"Use Of Deep Neural Networks For Crop Yield Prediction: A Case Study Of Soybean Yield in Lauderdale County, Alabama, USA",2019,,55,10.1109/agro-geoinformatics.2019.8820257,World population is constantly increasing and it is necessary to have sufficient crop production. Monitoring crop growth and yield estimation are very important for the economic development of a nation. The prediction of crop yield has direct impact on national and international economies and play important role in the...,"World population is constantly increasing and it is necessary to have sufficient crop production. Monitoring crop growth and yield estimation are very important for the economic development of a nation. The prediction of crop yield has direct impact on national and international economies and play important role in the food management and food security. Deep learning gains importance on crop monitoring, crop type classification and crop yield estimation applications with the recent advances in image classification using deep Convolutional Neural Networks. Traditional crop yield prediction approaches based on remote sensing consist of classical Machine Learning methods such as Support Vector Machines and Decision Trees. Convolutional Neural Network (CNN] and Long-Short Term Memory Network (LSTM] are deep neural network models that are proposed for crop yield prediction recently. This study focused on soybean yield prediction of Lauderdale County, Alabama, USA using 3D CNN model that leverages the spatiotemporal features. The yield is provided from USDA NASS Quick Stat tool for years 2003-2016. The satellite data used is collected from NASA's MODIS land products surface reflectance, land surface temperature and land surface temperature via Google Earth Engine. The root mean squared error (RMSE] is used as the evaluation metric in order to be able to compare the results with other methods that generally uses RMSE as the evaluation metric.",titulo,S,"nucleo: soja como cultura-alvo, previsao com ML"
,,MEDIA,Grain Crop Yield Prediction Using Machine Learning Based on UAV Remote Sensing: A Systematic Literature Review,2024,Drones,52,10.3390/drones8100559,"Preharvest crop yield estimation is crucial for achieving food security and managing crop growth. Unmanned aerial vehicles (UAVs) can quickly and accurately acquire field crop growth data and are important mediums for collecting agricultural remote sensing data. With the rapid development of machine learning, especiall...","Preharvest crop yield estimation is crucial for achieving food security and managing crop growth. Unmanned aerial vehicles (UAVs) can quickly and accurately acquire field crop growth data and are important mediums for collecting agricultural remote sensing data. With the rapid development of machine learning, especially deep learning, research on yield estimation based on UAV remote sensing data and machine learning has achieved excellent results. This paper systematically reviews the current research of yield estimation research based on UAV remote sensing and machine learning through a search of 76 articles, covering aspects such as the grain crops studied, research questions, data collection, feature selection, optimal yield estimation models, and optimal growth periods for yield estimation. Through visual and narrative analysis, the conclusion covers all the proposed research questions. Wheat, corn, rice, and soybeans are the main research objects, and the mechanisms of nitrogen fertilizer application, irrigation, crop variety diversity, and gene diversity have received widespread attention. In the modeling process, feature selection is the key to improving the robustness and accuracy of the model. Whether based on single modal features or multimodal features for yield estimation research, multispectral images are the main source of feature information. The optimal yield estimation model may vary depending on the selected features and the period of data collection, but random forest and convolutional neural networks still perform the best in most cases. Finally, this study delves into the challenges currently faced in terms of data volume, feature selection and optimization, determining the optimal growth period, algorithm selection and application, and the limitations of UAVs. Further research is needed in areas such as data augmentation, feature engineering, algorithm improvement, and real-time yield estimation in the future.",resumo,N,"escala de parcela (UAV/sensor proximal), nao regional"
,,MEDIA,Deep Learning for Multi-Source Data-Driven Crop Yield Prediction in Northeast China,2024,Agriculture,51,10.3390/agriculture14060794,"The accurate prediction of crop yields is crucial for enhancing agricultural efficiency and ensuring food security. This study assesses the performance of the CNN-LSTM-Attention model in predicting the yields of maize, rice, and soybeans in Northeast China and compares its effectiveness with traditional models such as ...","The accurate prediction of crop yields is crucial for enhancing agricultural efficiency and ensuring food security. This study assesses the performance of the CNN-LSTM-Attention model in predicting the yields of maize, rice, and soybeans in Northeast China and compares its effectiveness with traditional models such as RF, XGBoost, and CNN. Utilizing multi-source data from 2014 to 2020, which include vegetation indices, environmental variables, and photosynthetically active parameters, our research examines the model’s capacity to capture essential spatial and temporal variations. The CNN-LSTM-Attention model integrates Convolutional Neural Networks, Long Short-Term Memory, and an attention mechanism to effectively process complex datasets and manage non-linear relationships within agricultural data. Notably, the study explores the potential of using kNDVI for predicting yields of multiple crops, highlighting its effectiveness. Our findings demonstrate that advanced deep-learning models significantly enhance yield prediction accuracy over traditional methods. We advocate for the incorporation of sophisticated deep-learning technologies in agricultural practices, which can substantially improve yield prediction accuracy and food production strategies.",resumo,S,complementar: previsao multicultura com soja entre os alvos
,,MEDIA,From data to harvest: Leveraging ensemble machine learning for enhanced crop yield predictions across Canada amidst climate change,2024,The Science of The Total Environment,48,10.1016/j.scitotenv.2024.175764,"Accurate crop yield predictions are crucial for farmers and policymakers. Despite the widespread use of ensemble machine learning (ML) models in computer science, their application in crop yield prediction remains relatively underexplored. This study, conducted in Canada, aims to assess the potential of five distinct e...","Accurate crop yield predictions are crucial for farmers and policymakers. Despite the widespread use of ensemble machine learning (ML) models in computer science, their application in crop yield prediction remains relatively underexplored. This study, conducted in Canada, aims to assess the potential of five distinct ensemble ML models-Adaptive Boosting (AdaBoost), Gradient Boosting Machine (GBM), XGBoost, LightGBM, and Random Forest (RF)-in predicting crop yields chosen for their ability to manage complex datasets and their strong performance potential. The study integrated various factors, including climate variables, satellite-derived vegetation indices, soil characteristics, and honeybee census data. Data preparation comprised two main steps: first, climate variables were interpolated and averaged for croplands in ArcGIS Pro, along with averaging vegetation indices and soil characteristics. Honeybee census data was also incorporated. Second, the data was organized in Python to create a structured format for models' input. The models' accuracy was assessed using Root Mean Squared Error (RMSE), R-squared, and Mean Absolute Error (MAE). XGBoost emerged as the most accurate model, with the lowest MAE (68.70 for canola and 39.47 for soybeans), lowest RMSE (119.48 for canola and 102.39 for soybeans), and highest R-squared values (0.95 for canola and 0.96 for soybeans) on the test dataset. The study also assessed crop yields under various climate change scenarios, finding minimal variations across the scenarios, but significant negative impacts on canola and soybean yields across Canada. Honeybee colonies were identified as the most influential factor on crop yields, contributing 52.34 % to canola and 57.18 % to soybean yields. This research provides detailed crop yield maps of canola and soybeans at the Census Consolidated Subdivisions (CCS) level across Canada's agricultural landscape, offering valuable forecasts for localized decision-making. Additionally, it offers a proactive strategy for climate change preparedness, assisting farmers and stakeholders optimise resource allocation and manage risks effectively.",resumo,S,complementar: previsao multicultura com soja entre os alvos
,,ALTA,End-to-end 3D CNN for plot-scale soybean yield prediction using multitemporal UAV-based RGB images,2023,Precision Agriculture,42,10.1007/s11119-023-10096-8,"Abstract Crop yield prediction from UAV images has significant potential in accelerating and revolutionizing crop breeding pipelines. Although convolutional neural networks (CNN) provide easy, accurate and efficient solutions over traditional machine learning models in computer vision applications, a CNN training requi...","Abstract Crop yield prediction from UAV images has significant potential in accelerating and revolutionizing crop breeding pipelines. Although convolutional neural networks (CNN) provide easy, accurate and efficient solutions over traditional machine learning models in computer vision applications, a CNN training requires large number of ground truth data, which is often difficult to collect in the agricultural context. The major objective of this study was to develope an end-to-end 3D CNN model for plot-scale soybean yield prediction using multitemporal UAV-based RGB images with approximately 30,000 sample plots. A low-cost UAV-RGB system was utilized and multitemporal images from 13 different experimental fields were collected at Argentina in 2021. Three commonly used 2D CNN architectures (i.e., VGG, ResNet and DenseNet) were transformed into 3D variants to incorporate the temporal data as the third dimension. Additionally, multiple spatiotemporal resolutions were considered as data input and the CNN architectures were trained with different combinations of input shapes. The results reveal that: (a) DenseNet provided the most efficient result (R 2 0.69) in terms of accuracy and model complexity, followed by VGG (R 2 0.70) and ResNet (R 2 0.65); (b) Finer spatiotemporal resolution did not necessarily improve the model performance but increased the model complexity, while the coarser resolution achieved comparable results; and (c) DenseNet showed lower clustering patterns in its prediction maps compared to the other models. This study clearly identifies that multitemporal observation with UAV-based RGB images provides enough information for the 3D CNN architectures to accurately estimate soybean yield non-destructively and efficiently.",titulo,N,"escala de parcela (UAV/sensor proximal), nao regional"
,,ALTA,GOA-optimized deep learning for soybean yield estimation using multi-source remote sensing data,2024,Scientific Reports,41,10.1038/s41598-024-57278-6,"Abstract Accurately estimating large-area crop yields, especially for soybeans, is essential for addressing global food security challenges. This study introduces a deep learning framework that focuses on precise county-level soybean yield estimation in the United States. It utilizes a wide range of multi-variable remo...","Abstract Accurately estimating large-area crop yields, especially for soybeans, is essential for addressing global food security challenges. This study introduces a deep learning framework that focuses on precise county-level soybean yield estimation in the United States. It utilizes a wide range of multi-variable remote sensing data. The model used in this study is a state-of-the-art CNN-BiGRU model, which is enhanced by the GOA and a novel attention mechanism (GCBA). This model excels in handling intricate time series and diverse remote sensing datasets. Compared to five leading machine learning and deep learning models, our GCBA model demonstrates superior performance, particularly in the 2019 and 2020 evaluations, achieving remarkable R 2 , RMSE, MAE and MAPE values. This sets a new benchmark in yield estimation accuracy. Importantly, the study highlights the significance of integrating multi-source remote sensing data. It reveals that synthesizing information from various sensors and incorporating photosynthesis-related parameters significantly enhances yield estimation precision. These advancements not only provide transformative insights for precision agricultural management but also establish a solid scientific foundation for informed decision-making in global agricultural production and food security.",titulo,S,"nucleo: soja como cultura-alvo, previsao com ML"
,,ALTA,Application of UAV Multispectral Imaging to Monitor Soybean Growth with Yield Prediction through Machine Learning,2024,Agronomy,38,10.3390/agronomy14040672,"The application of remote sensing, which is non-destructive and cost-efficient, has been widely used in crop monitoring and management. This study used a built-in multispectral imager on a small unmanned aerial vehicle (UAV) to capture multispectral images in five different spectral bands (blue, green, red, red edge, a...","The application of remote sensing, which is non-destructive and cost-efficient, has been widely used in crop monitoring and management. This study used a built-in multispectral imager on a small unmanned aerial vehicle (UAV) to capture multispectral images in five different spectral bands (blue, green, red, red edge, and near-infrared), instead of satellite-captured data, to monitor soybean growth in a field. The field experiment was conducted in a soybean field at the Mississippi State University Experiment Station near Pontotoc, MS, USA. The experiment consisted of five cover crops (Cereal Rye, Vetch, Wheat, Mustard plus Cereal Rye, and native vegetation) planted in the winter and three fertilizer treatments (Fertilizer, Poultry Liter, and None) applied before planting the soybean. During the soybean growing season in 2022, eight UAV imaging flyovers were conducted, spread across the growth season. UAV image-derived vegetation indices (VIs) coupled with machine learning (ML) models were computed for characterizing soybean growth at different stages across the season. The aim of this study focuses on monitoring soybean growth to predict yield, using 14 VIs including CC (Canopy Cover), NDVI (Normalized Difference Vegetation Index), GNDVI (Green Normalized Difference Vegetation Index), EVI2 (Enhanced Vegetation Index 2), and others. Different machine learning algorithms including Linear Regression (LR), Support Vector Machine (SVM), and Random Forest (RF) are used for this purpose. The stage of the initial pod development was shown as having the best predictability for earliest soybean yield prediction. CC, NDVI, and NAVI (Normalized area vegetation index) were shown as the best VIs for yield prediction. The RMSE was found to be about 134.5 to 511.11 kg ha−1 in the different yield models, whereas it was 605.26 to 685.96 kg ha−1 in the cross-validated models. Due to the limited number of training and testing samples in the K-fold cross-validation, the models’ results changed to some extent. Nevertheless, the results of this study will be useful for the application of UAV remote sensing to provide information for soybean production and management. This study demonstrates that VIs coupled with ML models can be used in multistage soybean yield prediction at a farm scale, even with a limited number of training samples.",titulo,N,"escala de parcela (UAV/sensor proximal), nao regional"
,,MEDIA,Boosting enabled efficient machine learning technique for accurate prediction of crop yield towards precision agriculture,2024,Discover Sustainability,36,10.1007/s43621-024-00254-x,"Abstract Due to the limited availability of natural resources, it is essential that agricultural productivity keep pace with population growth. Despite unfavorable weather circumstances, this project's major objective is to boost production. As a consequence of technological advancements in agriculture, precision farmi...","Abstract Due to the limited availability of natural resources, it is essential that agricultural productivity keep pace with population growth. Despite unfavorable weather circumstances, this project's major objective is to boost production. As a consequence of technological advancements in agriculture, precision farming as a way for enhancing crop yields is gaining appeal and becoming more prevalent. When it comes to predicting future data, machine learning employs a number of methods, including the creation of models and the acquisition of prediction rules based on past data. In this manuscript, we examine various techniques to machine learning, as well as an automated agricultural yield projection model based on selecting the most relevant features. For the purpose of selecting features, the Grey Level Co-occurrence Matrix method is utilised. For classification, we make use of the AdaBoost Decision Tree, Artificial Neural Network (ANN), and K-Nearest Neighbour (KNN) algorithms. The data set that was used in this study is simply a compilation of information about a variety of topics, including yield, pesticide use, rainfall, and average temperature. This data collection consists of 33 characteristics or qualities in total. The crops soya beans, maze, potato, rice, paddy, wheat, and sorghum are included in this data collection. This data collection was made possible through the collaboration of the Food and Agriculture Organisation (FAO) and the World Data Bank, both of which make their data available to the public. The AdaBoost decision tree has achieved the highest level of accuracy possible when used to anticipate agricultural yield. Both the accuracy rate and the recall rate are quite high at 99 percent.",resumo,S,complementar: previsao multicultura com soja entre os alvos
,,ALTA,Estimation of Soybean Yield by Combining Maturity Group Information and Unmanned Aerial Vehicle Multi-Sensor Data Using Machine Learning,2023,Remote Sensing,35,10.3390/rs15174286,"Accurate and rapid estimation of the crop yield is essential to precision agriculture. Critical to crop improvement, yield is a primary index for selecting excellent genotypes in crop breeding. Recently developed unmanned aerial vehicle (UAV) platforms and advanced algorithms can provide powerful tools for plant breede...","Accurate and rapid estimation of the crop yield is essential to precision agriculture. Critical to crop improvement, yield is a primary index for selecting excellent genotypes in crop breeding. Recently developed unmanned aerial vehicle (UAV) platforms and advanced algorithms can provide powerful tools for plant breeders. Genotype category information such as the maturity group information (M) can significantly influence soybean yield estimation using remote sensing data. The objective of this study was to improve soybean yield prediction by combining M with UAV-based multi-sensor data using machine learning methods. We investigated three types of maturity groups (Early, Median and Late) of soybean, and collected the UAV-based hyperspectral and red–green–blue (RGB) images at three key growth stages. Vegetation indices (VI) and texture features (Te) were extracted and combined with M to predict yield using partial least square regression (PLSR), Gaussian process regression (GPR), random forest regression (RFR) and kernel ridge regression (KRR). The results showed that (1) the method of combining M with remote sensing data could significantly improve the estimation performances of soybean yield. (2) The combinations of three variables (VI, Te and M) gave the best estimation accuracy. Meanwhile, the flowering stage was the optimal single time point for yield estimation (R2 = 0.689, RMSE = 408.099 kg/hm2), while using multiple growth stages produced the best estimation performance (R2 = 0.700, RMSE = 400.946 kg/hm2). (3) By comparing the models constructed by different algorithms for different growth stages, it showed that the models built by GPR showed the best performances. Overall, the results of this study provide insights into soybean yield estimation based on UAV remote sensing data and maturity information.",titulo,N,"escala de parcela (UAV/sensor proximal), nao regional"
,,MEDIA,Crop Yield Estimation Using Multi-Source Satellite Image Series and Deep Learning,2020,,35,10.1109/igarss39084.2020.9324027,Timely monitoring of agricultural production and early yield predictions are essential for food security. Crop growth conditions and yield are related to climate variability and are impacted by extreme events. Remotely sensed time-series could be used to study the variability in crop growth and agricultural production....,"Timely monitoring of agricultural production and early yield predictions are essential for food security. Crop growth conditions and yield are related to climate variability and are impacted by extreme events. Remotely sensed time-series could be used to study the variability in crop growth and agricultural production. However, the choice of remotely sensed data and methods is still an issue, as different datasets have different spatiotemporal characteristics. Our primary goal was to test different algorithms and several remotely sensed time-series datasets for yield estimation in U.S. at county and field scale. For a county-level analysis, MODIS-based surface reflectance, Land Surface Temperature, and Evapotranspiration time series were used as input datasets. Field-level analysis was carried out using NASA's Harmonized Landsat Sentinel-2 (HLS) product. For this purpose, 3D convolutional neural network (CNN) and CNN followed by long-short term memory (LSTM) were used. For county-level analysis, the CNN-LSTM model had the highest accuracy, with a mean percentage error of 10.3% for maize and 9.6% for soybean. This model presented robust results for the year 2012, which is considered a drought year. In the case of field-level analysis, all models achieved accurate results with R <sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">2</sup> exceeding 0.8 when data from mid growing season were used. The results highlight the potential of using satellite data for yield estimation at different management scales.",resumo,S,complementar: previsao multicultura com soja entre os alvos
,,ALTA,Recognition of soybean pods and yield prediction based on improved deep learning model,2023,Frontiers in Plant Science,33,10.3389/fpls.2022.1096619,"As a leaf homologous organ, soybean pods are an essential factor in determining yield and quality of the grain. In this study, a recognition method of soybean pods and estimation of pods weight per plant were proposed based on improved YOLOv5 model. First, the YOLOv5 model was improved by using the coordinate attention...","As a leaf homologous organ, soybean pods are an essential factor in determining yield and quality of the grain. In this study, a recognition method of soybean pods and estimation of pods weight per plant were proposed based on improved YOLOv5 model. First, the YOLOv5 model was improved by using the coordinate attention (CA) module and the regression loss function of boundary box to detect and accurately count the pod targets on the living plants. Then, the prediction model was established to reliably estimate the yield of the whole soybean plant based on back propagation (BP) neural network with the topological structure of 5-120-1. Finally, compared with the traditional YOLOv5 model, the calculation and parameters of the proposed model were reduced by 17% and 7.6%, respectively. The results showed that the average precision (AP) value of the improved YOLOv5 model reached 91.7% with detection rate of 24.39 frames per millisecond. The mean square error (MSE) of the estimation for single pod weight was 0.00865, and the average coefficients of determination R 2 between predicted and actual weight of a single pod was 0.945. The mean relative error (MRE) of the total weight estimation for all potted soybean plant was 0.122. The proposed method can provide technical support for not only the research and development of the pod’s real-time detection system, but also the intelligent breeding and yield estimation.",titulo,S,"nucleo: soja como cultura-alvo, previsao com ML"
,,ALTA,"Comparison of PlanetScope, Sentinel-2, and landsat 8 data in soybean yield estimation within-field variability with random forest regression",2023,Heliyon,32,10.1016/j.heliyon.2023.e17432,"Accurate timely and early-season crop yield estimation within the field variability is important for precision farming and sustainable management applications. Therefore, the ability to estimate the within-field variability of grain yield is crucial for ensuring food security worldwide, especially under climate change....","Accurate timely and early-season crop yield estimation within the field variability is important for precision farming and sustainable management applications. Therefore, the ability to estimate the within-field variability of grain yield is crucial for ensuring food security worldwide, especially under climate change. Several Earth observation systems have thus been developed to monitor crops and predict yields. Despite this, new research is required to combine multiplatform data integration, advancements in satellite technologies, data processing, and the application of this discipline to agricultural practices. This study provides further developments in soybean yield estimation by comparing multisource satellite data from PlanetScope (PS), Sentinel-2 (S2), and Landsat 8 (L8) and introducing topographic and meteorological variables. Herein, a new method of combining soybean yield, global positioning systems, harvester data, climate, topographic variables, and remote sensing images has been demonstrated. Soybean yield shape points were obtained from a combine-harvester-installed GPS and yield monitoring system from seven fields over the 2021 season. The yield estimation models were trained and validated using random forest, and four vegetation indices were tested. The result showed that soybean yield can be accurately predicted at 3-, 10-, and 30-m resolutions with mean absolute error (MAE) value of 0.091 t/ha for PS, 0.118 t/ha for S2, and 0.120 t/ha for L8 data (root mean square error (RMSE) of 0.111, 0.076). The combination of the environmental data with the original bands provided further improvements and an accurate yield estimation model within the soybean yield variability with MAE of 0.082 t/ha for PS, 0.097 t/ha for S2, and 0.109 t/ha for L8 (RMSE of 0.094, 0.069, and 0.108 t/ha). The results showed that the optimal date to predict the soybean yield within the field scale was approximately 60 or 70 days before harvesting periods during the beginning bloom stage. The developed model can be applied for other crops and locations when suitable training yield data, which are critical for precision farming, are available.",titulo,S,"nucleo: soja como cultura-alvo, previsao com ML"
,,MEDIA,Improving the Transferability of Deep Learning Models for Crop Yield Prediction: A Partial Domain Adaptation Approach,2023,Remote Sensing,32,10.3390/rs15184562,"Over the past few years, there has been extensive exploration of machine learning (ML), especially deep learning (DL), for crop yield prediction, resulting in impressive levels of accuracy. However, such models are highly dependent on training samples with ground truth labels (i.e., crop yield records), which are not a...","Over the past few years, there has been extensive exploration of machine learning (ML), especially deep learning (DL), for crop yield prediction, resulting in impressive levels of accuracy. However, such models are highly dependent on training samples with ground truth labels (i.e., crop yield records), which are not available in some regions. Additionally, due to the existence of domain shifts between different spatial regions, DL models trained within one region (i.e., source domain) tend to have poor performance when directly applied to other regions (i.e., target domain). Unsupervised domain adaptation (UDA) has become a promising strategy to improve the transferability of DL models by aligning the feature distributions in the source domain and the target domain. Despite the success, existing UDA models generally assume an identical label space across different domains. This assumption can be invalid in crop yield prediction scenarios, as crop yields can vary significantly in heterogeneous regions. Due to the mismatch between label spaces, negative transfer may occur if the entire source and target domains are forced to align. To address this issue, we proposed a novel partial domain adversarial neural network (PDANN), which relaxes the assumption of fully, equally shared label spaces across domains by downweighing the outlier source samples. Specifically, during model training, the PDANN weighs each labeled source sample based on the likelihood of its yield value given the expected target yield distribution. Instead of aligning the target domain to the entire source domain, the PDANN model downweighs the outlier source samples and performs partial weighted alignment of the target domain to the source domain. As a result, the negative transfer caused by source samples in the outlier label space would be alleviated. In this study, we assessed the model’s performance on predicting yields for two main commodities in the U.S., including corn and soybean, using the U.S. corn belt as the study region. The counties under study were divided into two distinct ecological zones and alternatively used as the source and target domains. Feature variables, including time-series vegetation indices (VIs) and sequential meteorological variables, were collected and aggregated at the county level. Next, the PDANN model was trained with the extracted features and corresponding crop yield records from the U.S. Department of Agriculture (USDA). Finally, the trained model was evaluated for three testing years from 2019 to 2021. The experimental results showed that the developed PDANN model had achieved a mean coefficient of determination (R2) of 0.70 and 0.67, respectively, in predicting corn and soybean yields, outperforming three other ML and UDA models by a large margin from 6% to 46%. As the first study performing partial domain adaptation for crop yield prediction, this research demonstrates a novel solution for addressing negative transfer and improving DL models’ transferability on crop yield prediction.",resumo,S,complementar: previsao multicultura com soja entre os alvos
